"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J400,J300";"031-5640-1010";2;"031-5640-1010";;;
2;"C404,C300,C307,C304";"C_0402_1005Metric";4;"150p";;;
3;"Y200";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
4;"R101";"R_0402_1005Metric";1;"100k";;;
5;"C405,C403,C303,C305";"C_0402_1005Metric";4;"1n";;;
6;"R210,R212,R211,R213,R405,R308";"R_0402_1005Metric";6;"49R9";;;
7;"D205,D201,D300,D203,D202,D400,D204";"D_SOD-323";7;"PESD3V3L1BA,115";;;
8;"R303,R402";"R_0402_1005Metric";2;"6k8";;;
9;"C301,C108,C204,C201,C306,C212,C401,C406,C210,C302,C202,C211,C313,C314,C203,C311";"C_0402_1005Metric";16;"100n";;;
10;"C101,C207,C206,C100,C402";"C_0603_1608Metric";5;"1u";;;
11;"L100,L200";"L_0402_1005Metric";2;"10n";;;
12;"C105,C107,C102,C103,C104";"C_0805_2012Metric";5;"22u";;;
13;"H1,H4,H3,H2";"MountingHole_3.2mm_M3";4;"MountingHole";;;
14;"R309,R400,R201";"R_0402_1005Metric";3;"0R";;;
15;"R305,R404";"R_0402_1005Metric";2;"12k";;;
16;"FID2,FID3,FID1";"Fiducial_1mm_Mask2mm";3;"Fiducial";;;
17;"R100";"R_0805_2012Metric";1;"10R";;;
18;"C400,C309,C312,C310,C315,C200,C308";"C_0603_1608Metric";7;"10u";;;
19;"J200";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
20;"R202,R401,R203,R200";"R_0402_1005Metric";4;"10k";;;
21;"R304,R403,R102";"R_0402_1005Metric";3;"22k";;;
22;"C106";"C_0402_1005Metric";1;"DNP";;;
23;"R206,R205";"R_0402_1005Metric";2;"5k1";;;
24;"U201";"SOT-23-6";1;"USBLC6-2SC6";;;
25;"D100";"LED_0603_1608Metric";1;"GREEN";;;
26;"R103,R300,R208,R306,R104,R207,R209,R307,R105";"R_0402_1005Metric";9;"1k";;;
27;"U101";"SOT-23-5";1;"TLV62569DBV";;;
28;"U401,U300,U102,U301";"SOT-23-5";4;"MCP6001T-E/OT";;;
29;"L201";"L_CommonMode_Wurth_WE-CNSW-1206";1;"CMF3216F-900-2P-T";;;
30;"U400";"SOP50P490X110-10N";1;"DAC7563SDGSR";;;
31;"D200";"LED_Avago_PLCC4_3.2x2.8mm_CW";1;"ASMB-MTB1-0A3A2";;;
32;"C208,C209";"C_0402_1005Metric";2;"10p";;;
33;"J201";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"2x5 1.27mm";;;
34;"R301,R302";"R_0402_1005Metric";2;"2M2";;;
35;"U302";"SOT-23";1;"REF3033AIDBZT";;;
36;"R204";"R_0402_1005Metric";1;"1k5";;;
37;"U303";"SOP50P490X110-10N";1;"ADC141S626CIMM_NOPB";;;
38;"U100";"SOT-89-3";1;"HT7533-1";;;
39;"C205";"C_0402_1005Metric";1;"10n";;;
40;"U200";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103CBT6";;;
41;"L101";"L_Bourns-SRN4018";1;"15u";;;
